FID,osm_id,amenity,name,operator,ref-FR-GendarmerieNationale,official_name,police-FR,seasonal,emergency,military,office,phone,contact-phone,emergency_phone,fax,contact-fax,email,contact-email,opening_hours,wheelchair,short_name,alt_name,old_name,operator-type,website,contact-website,url,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,addr-full,wikidata,wikipedia,description,source,note,osm_version,osm_timestamp,the_geom,osm_original_geom,osm_type
police_point.34506981,34506981,police,Kantonspolizei Aargau,,,,,,,,,,,,,,,,,,,,,,,,,,2,Ländliweg,Baden,5400,,,,,bing,,10,2025-01-21T12:42:10Z,POINT (2665455.1598171727 1258181.0661192646),"SRID=3857;POLYGON((924680.6379501397 6019312.046103428,924684.7345074009 6019310.959195236,924698.7162354444 6019307.220890817,924699.1837773058 6019308.966530561,924728.1491088102 6019301.259369057,924727.7928864397 6019299.925437955,924745.8934356426 6019295.100232101,924754.5540920263 6019327.608667547,924736.3310913835 6019332.466828213,924735.1511047811 6019328.020375973,924720.0450498804 6019332.055119577,924704.9389949798 6019336.073396711,924706.0967176841 6019340.421042922,924689.3876621161 6019344.883969905,924684.2335696922 6019325.550125713,924680.6379501397 6019312.046103428))",way
police_point.36136144,36136144,police,Centre d'intervention Neuchâtel (BAP),Police neuchâteloise,,,,,,,,+41 32 889 92 30,,,,,,,,,,,,,https://www.ne.ch/autorites/DESC/PONE/Pages/accueil.aspx,,,,14,Rue des Poudrières,Neuchâtel,2002,,,,,Orthophotos2006sitn50cm,,8,2023-12-27T12:14:33Z,POINT (2559975.616862415 1204326.5813661239),"SRID=3857;POLYGON((769447.6897133974 5940231.827101754,769452.7102224323 5940225.691123105,769456.9848908787 5940223.700194788,769499.954214325 5940228.759111888,769539.962439316 5940248.896894857,769542.8344821784 5940255.228719528,769542.0441137939 5940259.651208041,769539.4503696583 5940263.469889968,769533.4836449518 5940264.905975909,769489.2118834633 5940258.965803773,769452.5209792978 5940241.602246868,769448.190651106 5940236.706513389,769447.6897133974 5940231.827101754))",way
police_point.38291572,38291572,police,Police Ouest lausannois,,,,,,,,,,,,,,,,"Mo 09:00-12:00,13:30-17:30; Tu-Fr 08:00-12:00,13:30-17:30",,POLOUEST,,,,https://www.polouest.ch,,,,2,Route du Bois,Ecublens (VD),1024,,,,,,,8,2026-03-01T17:51:54Z,POINT (2533081.3738054936 1153509.889761421),"SRID=3857;POLYGON((730956.9052290944 5865624.579465315,730958.7420006924 5865624.53092343,730957.9182364605 5865586.36090349,730981.7294755412 5865585.843125637,730983.0430455325 5865646.277715151,730958.8644521323 5865646.811677231,730958.4970978126 5865629.433655258,730957.0054166361 5865629.466016535,730956.9052290944 5865624.579465315))",way
police_point.38484891,38484891,police,Polizeiposten Verkehrsstützpunkt Bülach,Kantonspolizei Zürich,,,,,,,,+41 44 863 41 00,,,,,,,24/7,,,,,,,,,,2,Reitergasse,Bülach,8180,,,,,,,9,2022-02-17T02:39:44Z,POINT (2681599.8247476676 1263075.0119824144),"SRID=3857;POLYGON((948627.4307747597 6026292.350765907,948659.1234337885 6026240.0383296525,948681.2203527113 6026253.437798778,948649.5388256313 6026305.733834454,948627.4307747597 6026292.350765907))",way
police_point.38628794,38628794,police,,,,,,,,,,,,,,,,,,,,,,,,,,Gendarmerie,11,Rue des Ormonts,Les Diablerets,1865,,,,,Swiss Image 2023,,7,2023-08-28T21:40:18Z,POINT (2578462.9558600397 1133249.407167783),"SRID=3857;POLYGON((796907.547556268 5836663.783679471,796916.1970807028 5836647.962640019,796933.0285877106 5836657.171416921,796929.9227739174 5836662.8321584575,796931.0471007745 5836663.44500249,796925.4811262349 5836673.605317638,796907.547556268 5836663.783679471))",way
police_point.39652667,39652667,police,Diensthundeabteilung Stadtpolizei Zürich,Stadtpolizei Zürich,,,,,,,,,,,,,,,24/7,,,,,,,,,,18,Gänzilooweg,Zürich,8045,,,,,,,9,2023-08-05T08:07:44Z,POINT (2681090.0091828024 1245094.7604196838),"SRID=3857;POLYGON((947519.979952552 5999665.441524603,947539.7836899641 5999652.658214308,947552.6744869979 5999672.621875541,947541.8764963911 5999679.5886290455,947550.6707361637 5999693.226393849,947542.6223369794 5999698.418608738,947534.0841320354 5999685.191611748,947533.1267844146 5999685.799560235,947519.979952552 5999665.441524603))",way
police_point.40459668,40459668,police,Gendarmerie,,,,,,,,,,,,,,,,,,,,,,,,,,8,Rue Louis-de-Meuron,Marin-Epagnier,2074,,,,,,,6,2025-12-01T21:30:25Z,POINT (2566528.8511910965 1206619.4491995643),"SRID=3857;POLYGON((779048.4948566088 5943675.395867901,779060.8513200867 5943650.221917187,779076.6252919323 5943657.960205585,779071.9721372171 5943667.429006637,779082.3471137589 5943672.522572837,779074.5881452507 5943688.521614222,779048.4948566088 5943675.395867901))",way
police_point.43011486,43011486,police,"Kantonspolizei Zürich, Verkehrsstützpunkt Winterthur",Kantonspolizei Zürich,,,,,,,,+41 52 208 17 00,,,,,,,Mo-Fr 06:00-17:00,,Kapo,,,,,,,,215,Schaffhauserstrasse,Winterthur,8400,,,,,,,9,2025-04-02T10:54:54Z,POINT (2696202.694233023 1264136.0142977356),"SRID=3857;POLYGON((970240.4772665933 6027548.109009918,970251.4645003348 6027488.882229328,970275.7544132259 6027493.382329508,970273.9399055259 6027503.157280452,970270.4890013112 6027502.514408131,970264.2996376232 6027535.861412508,970266.3033884575 6027536.224059828,970265.5686798183 6027540.213181338,970263.6205887295 6027539.850533851,970261.3719350154 6027551.982748915,970240.4772665933 6027548.109009918))",way
police_point.44917958,44917958,police,Polizeidienststelle Zug,Zuger Polizei,,,,,,,,+41 41 728 41 50,,,,,info.polizei@zg.ch,,"Mo 08:00-11:45,13:30-18:00; Tu-Fr 08:00-11:45,13:30-17:00",,,,,,https://www.zg.ch/behoerden/sicherheitsdirektion/zuger-polizei/polizeidienststellen/polizeihauptgebaeude-an-der-aa,,,,,,,,,,,,,,13,2025-08-24T06:13:14Z,POINT (2681216.1175105777 1225271.2414827342),"SRID=3857;POLYGON((947282.0902007266 5970397.432201834,947295.9717412287 5970391.995465368,947308.350468605 5970423.584261802,947319.604869124 5970419.179181698,947306.8587874284 5970386.656986476,947335.0226185989 5970375.619773649,947365.8581175487 5970454.321630064,947348.7705757119 5970461.0193448635,947341.6127324539 5970442.743929851,947330.8147418469 5970446.985263783,947337.7276822252 5970464.622029774,947312.313442477 5970474.578548562,947282.0902007266 5970397.432201834))",way
police_point.46138483,46138483,police,Polizeiposten Embrach,Kantonspolizei Zürich,,,,,,,,+41 44 866 40 60,,,,,,,,,,Kapo,,,https://www.zh.ch/de/sicherheitsdirektion/kantonspolizei-zuerich.html,,,,3a,Embraport,Embrach,8424,,,,,,,9,2024-08-10T11:29:22Z,POINT (2686980.4573111436 1263510.3020807256),"SRID=3857;POLYGON((956593.1084455051 6026757.622331713,956626.6156122338 6026755.43016143,956634.1296778624 6026869.951199308,956622.3966035327 6026870.709403517,956620.2592693093 6026837.892408205,956598.4517810631 6026839.309915225,956597.8729197108 6026830.541154602,956594.3997515984 6026777.401336834,956593.1084455051 6026757.622331713))",way
police_point.46618043,46618043,police,Polizeiposten Thalwil,Kantonspolizei Zürich,,,,,,,,+41 44 722 61 11,,,,,,,,,,Kapo,,,,,,,2,Mythenstrasse,Thalwil,8800,,,,,"bing, interpolation",,5,2022-02-18T03:37:44Z,POINT (2684890.3649422405 1238952.0856437369),"SRID=3857;POLYGON((952995.5074059463 5990526.6018878715,953004.0901386862 5990510.828334003,953017.8269638502 5990518.312972017,953009.2330991608 5990534.070125772,952995.5074059463 5990526.6018878715))",way
police_point.55565833,55565833,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO!GIS Import,,4,2013-01-09T23:56:50Z,POINT (2630619.0455750898 1242490.7284464876),"SRID=3857;POLYGON((873132.6783210357 5996529.954462583,873133.1013351008 5996529.198909718,873148.9087027935 5996500.865724773,873168.8794194418 5996512.100437468,873165.6511542088 5996517.882049676,873172.3303236564 5996521.643384681,873169.1020584233 5996527.441428308,873185.5662111117 5996536.72159118,873183.2618976523 5996540.877136359,873187.0801561864 5996543.0123975,873183.0503906197 5996550.173738708,873179.2321320856 5996548.038475803,873176.8610269317 5996552.2433017185,873160.1742352617 5996542.864571712,873159.1055681501 5996544.786307156,873132.6783210357 5996529.954462583))",way
police_point.55598664,55598664,police,,,,,,,,,,,,,,,,,,limited,,,,,,,,,4,Bruggweg,Dornach,4143,,,,,,,6,2025-02-04T17:39:37Z,POINT (2612813.9390715812 1259688.5431864697),"SRID=3857;POLYGON((846981.6259953198 6022054.008908953,847002.2534969638 6022051.109568891,847003.9455532238 6022063.2176148,846998.5910857168 6022063.975397831,846998.1346758044 6022065.342702156,846996.8990294567 6022066.0016440805,846995.5075358218 6022065.62275247,846994.8062230297 6022064.502551278,846991.4555063568 6022064.980284123,846994.8730147242 6022089.740060287,846985.6891567337 6022091.025000706,846982.0267454868 6022065.705120206,846983.2401279364 6022065.540384729,846981.6259953198 6022054.008908953))",way
police_point.71525546,71525546,police,Einsatzzug Kantonspolizei Basel-Stadt,Justiz- und Sicherheitsdepatement Basel-Stadt,,,,,,,,,,,,,,,,,,,,,,,,,71,Amerbachstrasse,Basel,4057,,,,,,,6,2024-05-25T11:36:06Z,POINT (2611778.6674333937 1268770.8812270763),,node
police_point.85258885,85258885,police,,,,,,,,,,,,,,,,,,no,,,,,,,,,1,Rue de l'Hôpital,Saignelégier,2350,,,,,Orthophotos 1998 RCJU 50cm,,6,2023-06-04T18:15:26Z,POINT (2566545.912289153 1234055.6105392068),"SRID=3857;POLYGON((778826.3568127308 5984046.937703706,778876.7511462128 5984045.7896017805,778882.7623987156 5984037.244447926,778898.8925929316 5984048.627053959,778888.5844080842 5984063.224365953,778878.3541468802 5984056.0077142585,778878.4098066257 5984058.139906181,778826.6462434068 5984059.320812702,778826.3568127308 5984046.937703706))",way
police_point.85331427,85331427,police,Polizeistützpunkt Thal,,,,,,,,,,,,,,,,,,,,,,https://www.kapo.sg.ch/home/ueber_uns/standorte/r_bodensee/psp_thal.html,,,,2,Röteli,Thal,9425,,,,,GeoImage.at,,11,2025-03-08T05:52:50Z,POINT (2761336.994708261 1260884.369999603),"SRID=3857;POLYGON((1066332.697365695 6020566.709140397,1066349.8962270226 6020558.8855639715,1066376.2566824425 6020617.175495987,1066382.4237822322 6020614.046046317,1066390.8729315838 6020633.086294441,1066383.8152758672 6020636.001630248,1066381.7781291858 6020632.361578347,1066377.314217605 6020633.547477442,1066373.0506811077 6020633.102765263,1066368.8762002029 6020631.686274772,1066365.391900141 6020630.006251463,1066361.6738291483 6020627.090917675,1066359.5476268744 6020623.467340326,1066332.697365695 6020566.709140397))",way
police_point.87583480,87583480,police,Polizeiposten Verkehrsstützpunkt Urdorf,Kantonspolizei Zürich,,,,,,,,+41 44 247 64 64,,,,,,,24/7,,,Kapo,,,,,,,5,Werkhofstrasse,Urdorf,8902,,,,,,,6,2022-02-18T04:25:25Z,POINT (2674184.641369103 1247318.2503228723),"SRID=3857;POLYGON((937363.0782930829 6003114.699117938,937380.2660224615 6003053.058560842,937423.714019718 6003065.17295039,937414.5301617276 6003098.097218099,937424.4264644589 6003100.858720026,937433.4433432135 6003068.509752654,937452.2229413101 6003073.753301671,937435.3580384549 6003134.243375432,937416.6007042563 6003129.016227397,937423.5247765837 6003104.1955360295,937413.6173419029 6003101.43403304,937406.5374222886 6003126.813593632,937363.0782930829 6003114.699117938))",way
police_point.94445086,94445086,police,Polizeiposten Kantonale Seepolizei,Kantonspolizei Zürich,,,,,,,,+41 44 722 58 00,,,,,,,,,,,,,,,,,87,Seestrasse,Oberrieden,8942,,,,,bing,,8,2022-02-18T01:55:52Z,POINT (2686780.845077052 1236243.6833155032),"SRID=3857;POLYGON((955699.4021775693 5986483.108992167,955723.5139792751 5986457.220269467,955731.5178506633 5986464.963909738,955738.2749437542 5986457.61401372,955761.9303355479 5986480.352774674,955764.7355867161 5986481.205889517,955766.8951848373 5986483.37148912,955767.4851781386 5986485.7503680885,955766.3719832307 5986489.884697231,955764.212385109 5986492.296390139,955760.7058211493 5986493.280754785,955757.9117019303 5986493.001851455,955755.6853121143 5986491.131558788,955754.7057005954 5986488.670647993,955730.5048432968 5986513.624315763,955718.2596993097 5986501.7955136215,955709.2205566572 5986511.311053607,955699.8585874818 5986501.959574565,955708.7418828469 5986492.919821067,955699.4021775693 5986483.108992167))",way
police_point.95544922,95544922,police,Polizeiposten Verkehrspolizei Sprengi,Luzerner Polizei,,,,,,,,+41 41 288 92 22,,,,,,,,,,Lupol,,,,,,,15,Rothenburgstrasse,Emmenbrücke,6020,,,,,,,6,2023-01-15T22:30:42Z,POINT (2663263.379558171 1214960.342697764),"SRID=3857;POLYGON((920792.2147408833 5955548.033892549,920792.8381300317 5955546.807807634,920808.5453101826 5955546.529895075,920808.8013450115 5955560.539968546,920811.3839571978 5955560.490925076,920811.4952766888 5955566.670404516,920814.8125975144 5955566.6213610135,920815.3691949684 5955597.698650632,920797.09053458 5955598.025608504,920796.6897844132 5955573.454758686,920792.9828453697 5955573.6672807075,920792.2147408833 5955548.033892549))",way
police_point.95916608,95916608,police,Kommando Luzerner Polizei,Luzerner Polizei,,,,,,,,,+41 41 248 81 17,,,,,,,,,LUPOL,,,,http://www.polizei.lu.ch/,,,26,Kasimir-Pfyffer-Strasse,Luzern,6003,,,,,,,6,2025-11-29T11:26:15Z,POINT (2665438.5059211315 1211172.1262625349),"SRID=3857;POLYGON((923903.7169599952 5949967.783580294,923917.420389312 5949945.9242576435,923958.8089759888 5949971.884251564,923945.1055466722 5949993.727301955,923903.7169599952 5949967.783580294))",way
police_point.97213949,97213949,police,Kantonale Polizei,,,,,,,,,,,,,,,,,,,,,,,,,,5,Chännelmattstrasse,Düdingen,3186,,,,,,,5,2015-01-18T09:11:31Z,POINT (2581214.3062165407 1188315.6113755016),"SRID=3857;POLYGON((800630.472078562 5916919.916087896,800645.8564321897 5916916.319182667,800661.2519177663 5916912.706003345,800666.0163919723 5916933.050500992,800650.554114701 5916936.67996435,800635.2365527679 5916940.260602324,800630.472078562 5916919.916087896))",way
police_point.107576102,107576102,police,Stadtpolizei St.Gallen,,,,,,,,,+41 71 224 60 00,,,,,,,Mo-Fr 08:00-17:00,yes,,,,,https://www.stadt.sg.ch/home/verwaltung-politik/direktionen/soziales-sicherheit/stadtpolizei.html,,,,57,Vadianstrasse,St.Gallen,9001,,,,,,,6,2026-03-05T19:30:16Z,POINT (2745542.479624779 1253943.000564249),"SRID=3857;POLYGON((1042718.2711447363 6010909.252201213,1042722.7573202152 6010901.5196082685,1042730.8502471959 6010887.568053782,1042733.1879565027 6010883.537243285,1042844.9193294119 6010948.343032048,1042864.9234419073 6010959.941986751,1042849.9175745484 6010985.821696286,1042834.2326582957 6010976.723480624,1042835.8467909122 6010973.926562721,1042840.5667373218 6010965.799053471,1042819.4939577146 6010953.574899056,1042814.9409905411 6010961.439157924,1042813.2378023322 6010964.351238854,1042806.358257801 6010960.369749917,1042719.2507562554 6010909.82803288,1042718.2711447363 6010909.252201213))",way
police_point.112017746,112017746,police,Polizeiposten Kreuzlingen,Kantonspolizei Thurgau,,,,,,,,+41 58 345 20 00,,,,,,,"Mo-Fr 09:00-11:30, 14:00-16:30; Sa 09:00-11:30; PH off",limited,,Bezirksgebäude Polizei,,,https://kapo.tg.ch/ueber-uns/aussendienst/polizeiposten-kreuzlingen.html/2192,,,,5,Hauptstrasse,Kreuzlingen,8280,,,,,,,10,2025-10-20T12:34:22Z,POINT (2730344.841680068 1279658.0631461341),"SRID=3857;POLYGON((1021194.0910024028 6049598.549999133,1021197.2970037377 6049565.233403515,1021234.0213037506 6049568.769980479,1021230.8153024155 6049602.08658975,1021222.1769099301 6049601.260283404,1021209.6312033177 6049600.053876274,1021194.0910024028 6049598.549999133))",way
police_point.113681780,113681780,police,Police Cantonale,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,Delémont,2800,,,,,Orthophotos 1998 RCJU 50cm,,3,2024-06-26T08:52:12Z,POINT (2591780.7711379817 1245164.9960992292),"SRID=3857;POLYGON((815893.0644471627 6000532.992545346,815916.6085194654 6000514.916653354,816013.4008167103 6000641.8595099505,815989.8456124583 6000659.935666581,815893.0644471627 6000532.992545346))",way
police_point.115963477,115963477,police,Polizeiposten Wiesendangen,Kantonspolizei Zürich,,,,,,,,+41 52 320 92 00,,,,,,,,,,Kapo,,,,,,,24,Schulstrasse,Wiesendangen,8542,,,,,,,6,2022-02-19T01:10:46Z,POINT (2701714.859597141 1264364.5118359071),"SRID=3857;POLYGON((978385.5462967519 6027709.274501846,978425.4543342014 6027703.175313276,978428.3709048602 6027722.214686431,978431.0871004356 6027721.802578345,978432.8904761863 6027733.621846103,978390.2662431616 6027740.149649443,978385.5462967519 6027709.274501846))",way
police_point.116986719,116986719,police,Polizeiwache Münchenbuchsee,Kantonspolizei Bern,,,,,,,,+41 31 638 84 20,,,,,,,Di 08:00-12:00; Do 14:00-17:00,,,,,,,,,,21,Bernstrasse,Münchenbuchsee,3053,,,,,,,5,2023-02-24T14:25:52Z,POINT (2601054.7004483673 1207635.1079390275),"SRID=3857;POLYGON((829595.4139647541 5945303.792259433,829599.3546747281 5945298.175225536,829597.6180906717 5945297.032224896,829601.725779882 5945290.86002402,829603.5848153782 5945292.117323842,829607.7147684867 5945286.222711951,829622.9321428781 5945296.8852676805,829610.6424710945 5945314.454836652,829595.4139647541 5945303.792259433))",way
police_point.119484102,119484102,police,Quartierwache Unterstrass,Stadtpolizei Zürich,,,,,,,,+41 44 411 83 43,,,,,,,Mo-Fr 08:00-14:00; Tu 08:00-17:00,no,,,,,,,,,10,Röslistrasse,Zürich,8006,,,,,,,10,2026-03-10T07:21:20Z,POINT (2683243.37763395 1249194.2297691454),,node
police_point.120586189,120586189,police,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Route de Lausanne,Yverdon-les-Bains,1400,,,,,Orthophoto Yverdon 2010 / R-Pod @ HEIG-VD,,5,2022-12-11T22:35:58Z,POINT (2539444.178210019 1179447.2282395596),"SRID=3857;POLYGON((739764.770507436 5903557.368894873,739862.9431663667 5903508.876781778,739869.021210564 5903521.1947931,739876.8692346648 5903537.07172772,739778.7077076833 5903585.563996985,739764.770507436 5903557.368894873))",way
police_point.120746999,120746999,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2021-09-11T16:42:44Z,POINT (2570800.889366007 1162977.9027069244),"SRID=3857;POLYGON((785615.4431255364 5879823.14252495,785626.3746995323 5879819.366339104,785634.4230987168 5879819.220477879,785636.8387316669 5879842.898648218,785641.4028307894 5879843.076923526,785645.4993880505 5879875.101710679,785634.3117792258 5879875.912056001,785627.5435541857 5879876.252401053,785615.4431255364 5879823.14252495))",way
